Drill Listing
=============
Drill: .015  Tool: 1  Feed: 0  Speed: 0
Drill: .035  Tool: 3  Feed: 0  Speed: 0
X 1908300  Y 1886900
X 1908300  Y 1896900
X 1908300  Y 1906900
X 1908300  Y 1916900
X 1908300  Y 1926900
X 1908300  Y 1936900
X 1908300  Y 1946900
X 1908300  Y 1956900
X 1908300  Y 1966900
X 1908300  Y 1976900
X 1908300  Y 1986900
X 1908300  Y 1996900
X 1908300  Y 2006900
X 1908300  Y 2016900
X 1908300  Y 2026900
X 1908300  Y 2036900
X 1908300  Y 2046900
X 1908300  Y 2056900
X 1908300  Y 2066900
X 1908300  Y 2076900
X 1908300  Y 2086900
X 1908300  Y 2096900
X 1908300  Y 2106900
X 1908300  Y 2116900
X 1908300  Y 2126900
X 1908300  Y 2136900
X 1908300  Y 2146900
X 1908300  Y 2156900
X 1908300  Y 2166900
X 1908300  Y 2176900
X 1908300  Y 2186900
X 1908300  Y 2196900
X 1908300  Y 2206900
X 1908300  Y 2216900
X 1908300  Y 2226900
X 1908300  Y 2236900
X 1908300  Y 2246900
X 1908300  Y 2256900
X 1908300  Y 2266900
X 1908300  Y 2276900
X 1908300  Y 2286900
X 1908300  Y 2296900
X 1908300  Y 2306900
X 1908300  Y 2316900
X 1908300  Y 2326900
X 1908300  Y 2336900
X 1908300  Y 2346900
X 1908300  Y 2356900
X 1908300  Y 2366900
X 1908300  Y 2376900
X 1908300  Y 2386900
X 1908300  Y 2396900
X 1908300  Y 2406900
X 1908300  Y 2416900
X 1908300  Y 2426900
X 1908300  Y 2436900
X 1908300  Y 2446900
X 1908300  Y 2456900
X 1952709  Y 2397416
X 1978300  Y 2397416
X 1978300  Y 2379700
X 1952709  Y 2379700
X 1954500  Y 2161200
X 1974500  Y 2161200
X 1964500  Y 2161200
X 1964500  Y 2131200
X 1974500  Y 2131200
X 1954500  Y 2131200
X 1950900  Y 2069100
X 1980900  Y 2069100
X 1970900  Y 2069100
X 1960900  Y 2069100
X 1987209  Y 1881700
X 2011400  Y 2039800
X 2028600  Y 2039900
X 2011400  Y 2049800
X 2028600  Y 2049900
X 2011400  Y 2059800
X 2028600  Y 2059900
X 1990900  Y 2069100
X 2011400  Y 2069800
X 2028600  Y 2069900
X 2011400  Y 2079800
X 2028600  Y 2079900
X 2011400  Y 2089800
X 2028600  Y 2089900
X 2011400  Y 2099800
X 2028600  Y 2099900
X 2011400  Y 2109800
X 2028600  Y 2109900
X 2011400  Y 2119800
X 2028600  Y 2119900
X 2011400  Y 2129800
X 2028600  Y 2129900
X 1984500  Y 2131200
X 1984500  Y 2161200
X 2051400  Y 2125500
X 2081400  Y 2125500
X 2051400  Y 2115500
X 2081400  Y 2115500
X 2051400  Y 2105500
X 2081400  Y 2105500
X 2051400  Y 2095500
X 2081400  Y 2095500
X 2051400  Y 2085500
X 2081400  Y 2085500
X 2051400  Y 2075500
X 2081400  Y 2075500
X 2051400  Y 2065500
X 2081400  Y 2065500
X 2051400  Y 2055500
X 2081400  Y 2055500
X 2081400  Y 2045500
X 2051400  Y 2045500
X 2051400  Y 2035500
X 2081400  Y 2035500

Drill: .037  Tool: 4  Feed: 0  Speed: 0
X 2055800  Y 2299900
X 2055800  Y 2309900
X 2055800  Y 2319900
X 2055800  Y 2329900
X 2055800  Y 2339900
X 2065800  Y 2339900
X 2065800  Y 2329900
X 2065800  Y 2319900
X 2065800  Y 2309900
X 2065800  Y 2299900
X 2060800  Y 1934100
X 2070800  Y 1934100
X 2060800  Y 1924100
X 2070800  Y 1924100
X 2060800  Y 1914100
X 2070800  Y 1914100
X 2060800  Y 1904100
X 2070800  Y 1904100
X 2070800  Y 1894100
X 2060800  Y 1894100

Drill: .1875  Tool: 5  Feed: 0  Speed: 0
X 2006400  Y 2230400

End of Listing
